original_movieId,encoded_movieId
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
28,27
29,28
30,29
31,30
32,31
33,32
34,33
35,34
36,35
37,36
38,37
39,38
40,39
41,40
42,41
43,42
44,43
45,44
46,45
47,46
48,47
49,48
50,49
52,50
53,51
54,52
55,53
56,54
57,55
58,56
59,57
60,58
61,59
62,60
63,61
64,62
65,63
66,64
67,65
68,66
69,67
70,68
71,69
72,70
73,71
74,72
75,73
76,74
77,75
78,76
79,77
80,78
81,79
82,80
83,81
84,82
85,83
86,84
87,85
88,86
89,87
90,88
92,89
93,90
94,91
95,92
96,93
97,94
98,95
99,96
100,97
101,98
102,99
103,100
104,101
105,102
106,103
107,104
108,105
110,106
111,107
112,108
113,109
114,110
116,111
117,112
118,113
119,114
120,115
121,116
122,117
123,118
125,119
126,120
128,121
129,122
131,123
132,124
135,125
136,126
137,127
138,128
140,129
141,130
144,131
145,132
146,133
147,134
148,135
149,136
150,137
151,138
152,139
153,140
154,141
155,142
156,143
157,144
158,145
159,146
160,147
161,148
162,149
163,150
164,151
165,152
166,153
167,154
168,155
169,156
170,157
171,158
172,159
173,160
174,161
175,162
176,163
177,164
178,165
179,166
180,167
181,168
182,169
183,170
184,171
185,172
186,173
187,174
188,175
189,176
190,177
191,178
192,179
193,180
194,181
195,182
196,183
197,184
198,185
199,186
200,187
201,188
202,189
203,190
204,191
205,192
206,193
207,194
208,195
209,196
210,197
211,198
212,199
213,200
214,201
215,202
216,203
217,204
218,205
219,206
220,207
222,208
223,209
224,210
225,211
227,212
228,213
229,214
230,215
231,216
232,217
233,218
234,219
235,220
236,221
237,222
238,223
239,224
240,225
241,226
242,227
243,228
244,229
245,230
246,231
247,232
248,233
249,234
250,235
251,236
252,237
253,238
254,239
255,240
256,241
257,242
258,243
259,244
260,245
261,246
262,247
263,248
264,249
265,250
266,251
267,252
268,253
269,254
270,255
271,256
272,257
273,258
274,259
275,260
276,261
277,262
278,263
279,264
280,265
281,266
282,267
283,268
285,269
286,270
287,271
288,272
289,273
290,274
291,275
292,276
293,277
294,278
295,279
296,280
297,281
298,282
299,283
300,284
301,285
302,286
303,287
304,288
305,289
306,290
307,291
308,292
309,293
310,294
311,295
312,296
313,297
314,298
315,299
316,300
317,301
318,302
319,303
320,304
321,305
322,306
324,307
325,308
326,309
327,310
328,311
329,312
330,313
331,314
332,315
333,316
334,317
335,318
337,319
338,320
339,321
340,322
341,323
342,324
343,325
344,326
345,327
346,328
347,329
348,330
349,331
350,332
351,333
352,334
353,335
354,336
355,337
356,338
357,339
358,340
359,341
360,342
361,343
362,344
363,345
364,346
365,347
366,348
367,349
368,350
369,351
370,352
371,353
372,354
373,355
374,356
375,357
376,358
377,359
378,360
379,361
380,362
381,363
382,364
383,365
384,366
385,367
386,368
387,369
388,370
389,371
390,372
391,373
392,374
393,375
394,376
397,377
398,378
402,379
405,380
406,381
407,382
408,383
409,384
410,385
411,386
412,387
413,388
414,389
415,390
416,391
417,392
418,393
419,394
420,395
421,396
422,397
423,398
424,399
425,400
426,401
427,402
428,403
429,404
430,405
431,406
432,407
433,408
434,409
435,410
436,411
437,412
438,413
439,414
440,415
441,416
